Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Thu Dec 1 2016,7:30 pm,Milwaukee Bucks,111,Brooklyn Nets,93,Box Score,,
Thu Dec 1 2016,7:00 pm,Dallas Mavericks,87,Charlotte Hornets,97,Box Score,,
Thu Dec 1 2016,8:00 pm,Los Angeles Clippers,113,Cleveland Cavaliers,94,Box Score,,
Thu Dec 1 2016,10:30 pm,Houston Rockets,132,Golden State Warriors,127,Box Score,2OT,
Thu Dec 1 2016,8:00 pm,Orlando Magic,94,Memphis Grizzlies,95,Box Score,,
Thu Dec 1 2016,9:00 pm,Miami Heat,111,Utah Jazz,110,Box Score,,
Fri Dec 2 2016,8:00 pm,Detroit Pistons,121,Atlanta Hawks,85,Box Score,,
Fri Dec 2 2016,7:30 pm,Sacramento Kings,92,Boston Celtics,97,Box Score,,
Fri Dec 2 2016,8:00 pm,Cleveland Cavaliers,105,Chicago Bulls,111,Box Score,,
Fri Dec 2 2016,10:30 pm,Houston Rockets,128,Denver Nuggets,110,Box Score,,
Fri Dec 2 2016,8:00 pm,Los Angeles Clippers,114,New Orleans Pelicans,96,Box Score,,
Fri Dec 2 2016,7:30 pm,Minnesota Timberwolves,114,New York Knicks,118,Box Score,,
Fri Dec 2 2016,7:00 pm,Orlando Magic,105,Philadelphia 76ers,88,Box Score,,
Fri Dec 2 2016,8:30 pm,Washington Wizards,105,San Antonio Spurs,107,Box Score,,
Fri Dec 2 2016,7:30 pm,Los Angeles Lakers,80,Toronto Raptors,113,Box Score,,
Sat Dec 3 2016,7:00 pm,Minnesota Timberwolves,125,Charlotte Hornets,120,Box Score,OT,
Sat Dec 3 2016,8:30 pm,Chicago Bulls,82,Dallas Mavericks,107,Box Score,,
Sat Dec 3 2016,10:30 pm,Phoenix Suns,109,Golden State Warriors,138,Box Score,,
Sat Dec 3 2016,8:00 pm,Los Angeles Lakers,100,Memphis Grizzlies,103,Box Score,,
Sat Dec 3 2016,5:00 pm,Brooklyn Nets,103,Milwaukee Bucks,112,Box Score,,
Sat Dec 3 2016,7:30 pm,Boston Celtics,107,Philadelphia 76ers,106,Box Score,,
Sat Dec 3 2016,10:00 pm,Miami Heat,92,Portland Trail Blazers,99,Box Score,,
Sat Dec 3 2016,7:30 pm,Atlanta Hawks,84,Toronto Raptors,128,Box Score,,
Sat Dec 3 2016,9:00 pm,Denver Nuggets,98,Utah Jazz,105,Box Score,,
Sun Dec 4 2016,6:00 pm,Orlando Magic,98,Detroit Pistons,92,Box Score,,
Sun Dec 4 2016,9:30 pm,Indiana Pacers,111,Los Angeles Clippers,102,Box Score,,
Sun Dec 4 2016,7:30 pm,Sacramento Kings,98,New York Knicks,106,Box Score,,
Sun Dec 4 2016,7:00 pm,New Orleans Pelicans,92,Oklahoma City Thunder,101,Box Score,,
Mon Dec 5 2016,7:30 pm,Oklahoma City Thunder,102,Atlanta Hawks,99,Box Score,,
Mon Dec 5 2016,7:30 pm,Washington Wizards,118,Brooklyn Nets,113,Box Score,,
Mon Dec 5 2016,8:00 pm,Portland Trail Blazers,112,Chicago Bulls,110,Box Score,,
Mon Dec 5 2016,8:30 pm,Charlotte Hornets,109,Dallas Mavericks,101,Box Score,,
Mon Dec 5 2016,10:30 pm,Indiana Pacers,106,Golden State Warriors,142,Box Score,,
Mon Dec 5 2016,8:00 pm,Boston Celtics,106,Houston Rockets,107,Box Score,,
Mon Dec 5 2016,10:30 pm,Utah Jazz,107,Los Angeles Lakers,101,Box Score,,
Mon Dec 5 2016,8:00 pm,San Antonio Spurs,97,Milwaukee Bucks,96,Box Score,,
Mon Dec 5 2016,8:00 pm,Memphis Grizzlies,110,New Orleans Pelicans,108,Box Score,2OT,
Mon Dec 5 2016,7:00 pm,Denver Nuggets,106,Philadelphia 76ers,98,Box Score,,
Mon Dec 5 2016,7:30 pm,Cleveland Cavaliers,116,Toronto Raptors,112,Box Score,,
Tue Dec 6 2016,7:30 pm,Chicago Bulls,91,Detroit Pistons,102,Box Score,,
Tue Dec 6 2016,8:00 pm,Philadelphia 76ers,91,Memphis Grizzlies,96,Box Score,,
Tue Dec 6 2016,7:30 pm,New York Knicks,114,Miami Heat,103,Box Score,,
Tue Dec 6 2016,8:00 pm,San Antonio Spurs,105,Minnesota Timberwolves,91,Box Score,,
Tue Dec 6 2016,9:00 pm,Phoenix Suns,105,Utah Jazz,112,Box Score,,
Tue Dec 6 2016,7:00 pm,Orlando Magic,124,Washington Wizards,116,Box Score,,
Wed Dec 7 2016,7:30 pm,Miami Heat,95,Atlanta Hawks,103,Box Score,,
Wed Dec 7 2016,7:30 pm,Denver Nuggets,111,Brooklyn Nets,116,Box Score,,
Wed Dec 7 2016,7:00 pm,Detroit Pistons,77,Charlotte Hornets,87,Box Score,,
Wed Dec 7 2016,8:30 pm,Sacramento Kings,120,Dallas Mavericks,89,Box Score,,
Wed Dec 7 2016,8:00 pm,Los Angeles Lakers,95,Houston Rockets,134,Box Score,,
Wed Dec 7 2016,10:30 pm,Golden State Warriors,115,Los Angeles Clippers,98,Box Score,,
Wed Dec 7 2016,8:00 pm,Portland Trail Blazers,107,Milwaukee Bucks,115,Box Score,,
Wed Dec 7 2016,8:00 pm,Cleveland Cavaliers,126,New York Knicks,94,Box Score,,
Wed Dec 7 2016,7:00 pm,Boston Celtics,117,Orlando Magic,87,Box Score,,
Wed Dec 7 2016,9:00 pm,Indiana Pacers,109,Phoenix Suns,94,Box Score,,
Thu Dec 8 2016,9:30 pm,San Antonio Spurs,91,Chicago Bulls,95,Box Score,,
Thu Dec 8 2016,8:00 pm,Portland Trail Blazers,86,Memphis Grizzlies,88,Box Score,,
Thu Dec 8 2016,8:00 pm,Philadelphia 76ers,99,New Orleans Pelicans,88,Box Score,,
Thu Dec 8 2016,7:00 pm,Minnesota Timberwolves,110,Toronto Raptors,124,Box Score,,
Thu Dec 8 2016,9:00 pm,Golden State Warriors,106,Utah Jazz,99,Box Score,,
Thu Dec 8 2016,7:00 pm,Denver Nuggets,85,Washington Wizards,92,Box Score,,
Fri Dec 9 2016,7:30 pm,Toronto Raptors,101,Boston Celtics,94,Box Score,,
Fri Dec 9 2016,7:00 pm,Orlando Magic,88,Charlotte Hornets,109,Box Score,,
Fri Dec 9 2016,7:30 pm,Miami Heat,84,Cleveland Cavaliers,114,Box Score,,
Fri Dec 9 2016,8:30 pm,Indiana Pacers,103,Dallas Mavericks,111,Box Score,,
Fri Dec 9 2016,10:30 pm,Phoenix Suns,119,Los Angeles Lakers,115,Box Score,,
Fri Dec 9 2016,8:00 pm,Atlanta Hawks,114,Milwaukee Bucks,110,Box Score,,
Fri Dec 9 2016,8:00 pm,Detroit Pistons,117,Minnesota Timberwolves,90,Box Score,,
Fri Dec 9 2016,8:00 pm,Houston Rockets,102,Oklahoma City Thunder,99,Box Score,,
Fri Dec 9 2016,10:30 pm,New York Knicks,103,Sacramento Kings,100,Box Score,,
Sat Dec 10 2016,8:00 pm,Miami Heat,100,Chicago Bulls,105,Box Score,,
Sat Dec 10 2016,7:30 pm,Charlotte Hornets,105,Cleveland Cavaliers,116,Box Score,,
Sat Dec 10 2016,8:00 pm,Dallas Mavericks,87,Houston Rockets,109,Box Score,,
Sat Dec 10 2016,7:00 pm,Portland Trail Blazers,111,Indiana Pacers,118,Box Score,,
Sat Dec 10 2016,10:30 pm,New Orleans Pelicans,105,Los Angeles Clippers,133,Box Score,,
Sat Dec 10 2016,8:00 pm,Golden State Warriors,89,Memphis Grizzlies,110,Box Score,,
Sat Dec 10 2016,7:00 pm,Denver Nuggets,121,Orlando Magic,113,Box Score,,
Sat Dec 10 2016,8:30 pm,Brooklyn Nets,101,San Antonio Spurs,130,Box Score,,
Sat Dec 10 2016,9:00 pm,Sacramento Kings,84,Utah Jazz,104,Box Score,,
Sat Dec 10 2016,7:00 pm,Milwaukee Bucks,105,Washington Wizards,110,Box Score,,
Sun Dec 11 2016,6:00 pm,Philadelphia 76ers,97,Detroit Pistons,79,Box Score,,
Sun Dec 11 2016,9:30 pm,New York Knicks,118,Los Angeles Lakers,112,Box Score,,
Sun Dec 11 2016,7:00 pm,Golden State Warriors,116,Minnesota Timberwolves,108,Box Score,,
Sun Dec 11 2016,7:00 pm,Boston Celtics,96,Oklahoma City Thunder,99,Box Score,,
Sun Dec 11 2016,8:30 pm,New Orleans Pelicans,120,Phoenix Suns,119,Box Score,OT,
Mon Dec 12 2016,8:30 pm,Denver Nuggets,92,Dallas Mavericks,112,Box Score,,
Mon Dec 12 2016,8:00 pm,Brooklyn Nets,118,Houston Rockets,122,Box Score,,
Mon Dec 12 2016,7:00 pm,Charlotte Hornets,94,Indiana Pacers,110,Box Score,,
Mon Dec 12 2016,10:30 pm,Portland Trail Blazers,120,Los Angeles Clippers,121,Box Score,,
Mon Dec 12 2016,7:30 pm,Washington Wizards,101,Miami Heat,112,Box Score,,
Mon Dec 12 2016,10:30 pm,Los Angeles Lakers,92,Sacramento Kings,116,Box Score,,
Mon Dec 12 2016,7:30 pm,Milwaukee Bucks,100,Toronto Raptors,122,Box Score,,
Tue Dec 13 2016,7:30 pm,Orlando Magic,131,Atlanta Hawks,120,Box Score,,
Tue Dec 13 2016,8:00 pm,Minnesota Timberwolves,99,Chicago Bulls,94,Box Score,,
Tue Dec 13 2016,7:00 pm,Memphis Grizzlies,86,Cleveland Cavaliers,103,Box Score,,
Tue Dec 13 2016,8:00 pm,Golden State Warriors,113,New Orleans Pelicans,109,Box Score,,
Tue Dec 13 2016,9:00 pm,New York Knicks,111,Phoenix Suns,113,Box Score,OT,
Tue Dec 13 2016,10:30 pm,Oklahoma City Thunder,95,Portland Trail Blazers,114,Box Score,,
