Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Mar 18 2017,3:00 pm,Sacramento Kings,,Oklahoma City Thunder,,,,
Sun Mar 19 2017,12:00 pm,Dallas Mavericks,,Brooklyn Nets,,,,
Sun Mar 19 2017,4:30 pm,Phoenix Suns,,Detroit Pistons,,,,
Sun Mar 19 2017,9:30 pm,Cleveland Cavaliers,,Los Angeles Lakers,,,,
Sun Mar 19 2017,6:00 pm,Portland Trail Blazers,,Miami Heat,,,,
Sun Mar 19 2017,6:00 pm,Minnesota Timberwolves,,New Orleans Pelicans,,,,
Sun Mar 19 2017,1:00 pm,Boston Celtics,,Philadelphia 76ers,,,,
Sun Mar 19 2017,7:00 pm,Sacramento Kings,,San Antonio Spurs,,,,
Sun Mar 19 2017,6:00 pm,Indiana Pacers,,Toronto Raptors,,,,
Mon Mar 20 2017,7:30 pm,Washington Wizards,,Boston Celtics,,,,
Mon Mar 20 2017,7:00 pm,Atlanta Hawks,,Charlotte Hornets,,,,
Mon Mar 20 2017,8:00 pm,Denver Nuggets,,Houston Rockets,,,,
Mon Mar 20 2017,7:00 pm,Utah Jazz,,Indiana Pacers,,,,
Mon Mar 20 2017,10:30 pm,New York Knicks,,Los Angeles Clippers,,,,
Mon Mar 20 2017,8:00 pm,Golden State Warriors,,Oklahoma City Thunder,,,,
Mon Mar 20 2017,7:00 pm,Philadelphia 76ers,,Orlando Magic,,,,
Tue Mar 21 2017,7:30 pm,Detroit Pistons,,Brooklyn Nets,,,,
Tue Mar 21 2017,8:30 pm,Golden State Warriors,,Dallas Mavericks,,,,
Tue Mar 21 2017,10:30 pm,Los Angeles Clippers,,Los Angeles Lakers,,,,
Tue Mar 21 2017,7:30 pm,Phoenix Suns,,Miami Heat,,,,
Tue Mar 21 2017,9:30 pm,San Antonio Spurs,,Minnesota Timberwolves,,,,
Tue Mar 21 2017,8:00 pm,Memphis Grizzlies,,New Orleans Pelicans,,,,
Tue Mar 21 2017,10:00 pm,Milwaukee Bucks,,Portland Trail Blazers,,,,
Tue Mar 21 2017,7:00 pm,Chicago Bulls,,Toronto Raptors,,,,
Wed Mar 22 2017,7:30 pm,Indiana Pacers,,Boston Celtics,,,,
Wed Mar 22 2017,8:00 pm,Detroit Pistons,,Chicago Bulls,,,,
Wed Mar 22 2017,9:00 pm,Cleveland Cavaliers,,Denver Nuggets,,,,
Wed Mar 22 2017,8:00 pm,Philadelphia 76ers,,Oklahoma City Thunder,,,,
Wed Mar 22 2017,7:00 pm,Charlotte Hornets,,Orlando Magic,,,,
Wed Mar 22 2017,10:30 pm,Milwaukee Bucks,,Sacramento Kings,,,,
Wed Mar 22 2017,10:30 pm,New York Knicks,,Utah Jazz,,,,
Wed Mar 22 2017,8:00 pm,Atlanta Hawks,,Washington Wizards,,,,
Thu Mar 23 2017,7:30 pm,Phoenix Suns,,Brooklyn Nets,,,,
Thu Mar 23 2017,8:30 pm,Los Angeles Clippers,,Dallas Mavericks,,,,
Thu Mar 23 2017,7:30 pm,Toronto Raptors,,Miami Heat,,,,
Thu Mar 23 2017,10:00 pm,New York Knicks,,Portland Trail Blazers,,,,
Thu Mar 23 2017,8:30 pm,Memphis Grizzlies,,San Antonio Spurs,,,,
Fri Mar 24 2017,7:30 pm,Phoenix Suns,,Boston Celtics,,,,
Fri Mar 24 2017,8:00 pm,Philadelphia 76ers,,Chicago Bulls,,,,
Fri Mar 24 2017,7:00 pm,Cleveland Cavaliers,,Charlotte Hornets,,,,
Fri Mar 24 2017,10:30 pm,Sacramento Kings,,Golden State Warriors,,,,
Fri Mar 24 2017,8:00 pm,New Orleans Pelicans,,Houston Rockets,,,,
Fri Mar 24 2017,7:00 pm,Denver Nuggets,,Indiana Pacers,,,,
Fri Mar 24 2017,10:30 pm,Minnesota Timberwolves,,Los Angeles Lakers,,,,
Fri Mar 24 2017,8:00 pm,Atlanta Hawks,,Milwaukee Bucks,,,,
Fri Mar 24 2017,7:00 pm,Detroit Pistons,,Orlando Magic,,,,
Fri Mar 24 2017,7:00 pm,Brooklyn Nets,,Washington Wizards,,,,
Sat Mar 25 2017,7:30 pm,Washington Wizards,,Cleveland Cavaliers,,,,
Sat Mar 25 2017,8:30 pm,Toronto Raptors,,Dallas Mavericks,,,,
Sat Mar 25 2017,3:30 pm,Utah Jazz,,Los Angeles Clippers,,,,
Sat Mar 25 2017,10:00 pm,Minnesota Timberwolves,,Portland Trail Blazers,,,,
Sat Mar 25 2017,8:30 pm,New York Knicks,,San Antonio Spurs,,,,
Sun Mar 26 2017,1:00 pm,Brooklyn Nets,,Atlanta Hawks,,,,
Sun Mar 26 2017,6:00 pm,Miami Heat,,Boston Celtics,,,,
Sun Mar 26 2017,1:00 pm,Phoenix Suns,,Charlotte Hornets,,,,
Sun Mar 26 2017,8:00 pm,New Orleans Pelicans,,Denver Nuggets,,,,
Sun Mar 26 2017,8:00 pm,Memphis Grizzlies,,Golden State Warriors,,,,
Sun Mar 26 2017,3:30 pm,Oklahoma City Thunder,,Houston Rockets,,,,
Sun Mar 26 2017,6:00 pm,Philadelphia 76ers,,Indiana Pacers,,,,
Sun Mar 26 2017,3:30 pm,Sacramento Kings,,Los Angeles Clippers,,,,
Sun Mar 26 2017,9:30 pm,Portland Trail Blazers,,Los Angeles Lakers,,,,
Sun Mar 26 2017,3:30 pm,Chicago Bulls,,Milwaukee Bucks,,,,
Mon Mar 27 2017,8:30 pm,Oklahoma City Thunder,,Dallas Mavericks,,,,
Mon Mar 27 2017,7:30 pm,Detroit Pistons,,New York Knicks,,,,
Mon Mar 27 2017,10:30 pm,Memphis Grizzlies,,Sacramento Kings,,,,
Mon Mar 27 2017,8:00 pm,Cleveland Cavaliers,,San Antonio Spurs,,,,
Mon Mar 27 2017,7:30 pm,Orlando Magic,,Toronto Raptors,,,,
Mon Mar 27 2017,10:30 pm,New Orleans Pelicans,,Utah Jazz,,,,
Tue Mar 28 2017,7:30 pm,Phoenix Suns,,Atlanta Hawks,,,,
Tue Mar 28 2017,7:30 pm,Philadelphia 76ers,,Brooklyn Nets,,,,
Tue Mar 28 2017,7:00 pm,Milwaukee Bucks,,Charlotte Hornets,,,,
Tue Mar 28 2017,7:30 pm,Miami Heat,,Detroit Pistons,,,,
Tue Mar 28 2017,8:00 pm,Golden State Warriors,,Houston Rockets,,,,
Tue Mar 28 2017,7:00 pm,Minnesota Timberwolves,,Indiana Pacers,,,,
Tue Mar 28 2017,10:30 pm,Washington Wizards,,Los Angeles Lakers,,,,
Tue Mar 28 2017,10:00 pm,Denver Nuggets,,Portland Trail Blazers,,,,
Wed Mar 29 2017,7:30 pm,Milwaukee Bucks,,Boston Celtics,,,,
Wed Mar 29 2017,10:30 pm,Washington Wizards,,Los Angeles Clippers,,,,
Wed Mar 29 2017,8:00 pm,Indiana Pacers,,Memphis Grizzlies,,,,
Wed Mar 29 2017,8:00 pm,Dallas Mavericks,,New Orleans Pelicans,,,,
Wed Mar 29 2017,7:30 pm,Miami Heat,,New York Knicks,,,,
Wed Mar 29 2017,7:00 pm,Oklahoma City Thunder,,Orlando Magic,,,,
Wed Mar 29 2017,7:00 pm,Atlanta Hawks,,Philadelphia 76ers,,,,
Wed Mar 29 2017,10:30 pm,Utah Jazz,,Sacramento Kings,,,,
Wed Mar 29 2017,9:30 pm,Golden State Warriors,,San Antonio Spurs,,,,
Wed Mar 29 2017,7:30 pm,Charlotte Hornets,,Toronto Raptors,,,,
Thu Mar 30 2017,8:00 pm,Cleveland Cavaliers,,Chicago Bulls,,,,
Thu Mar 30 2017,7:30 pm,Brooklyn Nets,,Detroit Pistons,,,,
Thu Mar 30 2017,8:00 pm,Los Angeles Lakers,,Minnesota Timberwolves,,,,
Thu Mar 30 2017,10:00 pm,Los Angeles Clippers,,Phoenix Suns,,,,
Thu Mar 30 2017,10:30 pm,Houston Rockets,,Portland Trail Blazers,,,,
Fri Mar 31 2017,7:30 pm,Orlando Magic,,Boston Celtics,,,,
Fri Mar 31 2017,7:00 pm,Denver Nuggets,,Charlotte Hornets,,,,
Fri Mar 31 2017,7:30 pm,Philadelphia 76ers,,Cleveland Cavaliers,,,,
Fri Mar 31 2017,10:30 pm,Houston Rockets,,Golden State Warriors,,,,
Fri Mar 31 2017,8:00 pm,Dallas Mavericks,,Memphis Grizzlies,,,,
Fri Mar 31 2017,8:00 pm,New York Knicks,,Miami Heat,,,,
Fri Mar 31 2017,8:00 pm,Detroit Pistons,,Milwaukee Bucks,,,,
Fri Mar 31 2017,8:00 pm,Sacramento Kings,,New Orleans Pelicans,,,,
Fri Mar 31 2017,9:30 pm,San Antonio Spurs,,Oklahoma City Thunder,,,,
Fri Mar 31 2017,7:00 pm,Indiana Pacers,,Toronto Raptors,,,,
Fri Mar 31 2017,9:00 pm,Washington Wizards,,Utah Jazz,,,,
