Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Mar 1 2017,7:30 pm,Dallas Mavericks,,Atlanta Hawks,,,,
Wed Mar 1 2017,8:00 pm,Cleveland Cavaliers,,Boston Celtics,,,,
Wed Mar 1 2017,10:30 pm,Houston Rockets,,Los Angeles Clippers,,,,
Wed Mar 1 2017,7:30 pm,Philadelphia 76ers,,Miami Heat,,,,
Wed Mar 1 2017,8:00 pm,Denver Nuggets,,Milwaukee Bucks,,,,
Wed Mar 1 2017,8:00 pm,Detroit Pistons,,New Orleans Pelicans,,,,
Wed Mar 1 2017,7:00 pm,New York Knicks,,Orlando Magic,,,,
Wed Mar 1 2017,10:30 pm,Brooklyn Nets,,Sacramento Kings,,,,
Wed Mar 1 2017,8:30 pm,Indiana Pacers,,San Antonio Spurs,,,,
Wed Mar 1 2017,7:30 pm,Washington Wizards,,Toronto Raptors,,,,
Wed Mar 1 2017,9:00 pm,Minnesota Timberwolves,,Utah Jazz,,,,
Thu Mar 2 2017,8:00 pm,Golden State Warriors,,Chicago Bulls,,,,
Thu Mar 2 2017,9:00 pm,Charlotte Hornets,,Phoenix Suns,,,,
Thu Mar 2 2017,10:30 pm,Oklahoma City Thunder,,Portland Trail Blazers,,,,
Fri Mar 3 2017,8:00 pm,Cleveland Cavaliers,,Atlanta Hawks,,,,
Fri Mar 3 2017,8:30 pm,Memphis Grizzlies,,Dallas Mavericks,,,,
Fri Mar 3 2017,10:30 pm,Boston Celtics,,Los Angeles Lakers,,,,
Fri Mar 3 2017,8:00 pm,Los Angeles Clippers,,Milwaukee Bucks,,,,
Fri Mar 3 2017,9:30 pm,San Antonio Spurs,,New Orleans Pelicans,,,,
Fri Mar 3 2017,7:00 pm,Miami Heat,,Orlando Magic,,,,
Fri Mar 3 2017,7:00 pm,New York Knicks,,Philadelphia 76ers,,,,
Fri Mar 3 2017,9:00 pm,Oklahoma City Thunder,,Phoenix Suns,,,,
Fri Mar 3 2017,9:00 pm,Brooklyn Nets,,Utah Jazz,,,,
Fri Mar 3 2017,7:00 pm,Toronto Raptors,,Washington Wizards,,,,
Sat Mar 4 2017,8:30 pm,Los Angeles Clippers,,Chicago Bulls,,,,
Sat Mar 4 2017,9:00 pm,Charlotte Hornets,,Denver Nuggets,,,,
Sat Mar 4 2017,9:00 pm,Memphis Grizzlies,,Houston Rockets,,,,
Sat Mar 4 2017,8:00 pm,Cleveland Cavaliers,,Miami Heat,,,,
Sat Mar 4 2017,8:00 pm,Toronto Raptors,,Milwaukee Bucks,,,,
Sat Mar 4 2017,6:00 pm,Detroit Pistons,,Philadelphia 76ers,,,,
Sat Mar 4 2017,10:00 pm,Brooklyn Nets,,Portland Trail Blazers,,,,
Sat Mar 4 2017,9:00 pm,Minnesota Timberwolves,,San Antonio Spurs,,,,
Sun Mar 5 2017,3:00 pm,Indiana Pacers,,Atlanta Hawks,,,,
Sun Mar 5 2017,8:30 pm,Oklahoma City Thunder,,Dallas Mavericks,,,,
Sun Mar 5 2017,9:30 pm,New Orleans Pelicans,,Los Angeles Lakers,,,,
Sun Mar 5 2017,3:30 pm,Golden State Warriors,,New York Knicks,,,,
Sun Mar 5 2017,5:00 pm,Boston Celtics,,Phoenix Suns,,,,
Sun Mar 5 2017,6:00 pm,Utah Jazz,,Sacramento Kings,,,,
Sun Mar 5 2017,5:00 pm,Orlando Magic,,Washington Wizards,,,,
Mon Mar 6 2017,7:30 pm,Golden State Warriors,,Atlanta Hawks,,,,
Mon Mar 6 2017,8:00 pm,Indiana Pacers,,Charlotte Hornets,,,,
Mon Mar 6 2017,7:00 pm,Miami Heat,,Cleveland Cavaliers,,,,
Mon Mar 6 2017,9:00 pm,Sacramento Kings,,Denver Nuggets,,,,
Mon Mar 6 2017,7:30 pm,Chicago Bulls,,Detroit Pistons,,,,
Mon Mar 6 2017,10:30 pm,Boston Celtics,,Los Angeles Clippers,,,,
Mon Mar 6 2017,8:00 pm,Brooklyn Nets,,Memphis Grizzlies,,,,
Mon Mar 6 2017,8:00 pm,Portland Trail Blazers,,Minnesota Timberwolves,,,,
Mon Mar 6 2017,7:00 pm,New York Knicks,,Orlando Magic,,,,
Mon Mar 6 2017,7:00 pm,Milwaukee Bucks,,Philadelphia 76ers,,,,
Mon Mar 6 2017,8:30 pm,Houston Rockets,,San Antonio Spurs,,,,
Mon Mar 6 2017,9:00 pm,New Orleans Pelicans,,Utah Jazz,,,,
Tue Mar 7 2017,8:30 pm,Los Angeles Lakers,,Dallas Mavericks,,,,
Tue Mar 7 2017,8:00 pm,Portland Trail Blazers,,Oklahoma City Thunder,,,,
Tue Mar 7 2017,9:00 pm,Washington Wizards,,Phoenix Suns,,,,
Wed Mar 8 2017,7:30 pm,Brooklyn Nets,,Atlanta Hawks,,,,
Wed Mar 8 2017,9:00 pm,Washington Wizards,,Denver Nuggets,,,,
Wed Mar 8 2017,10:30 pm,Boston Celtics,,Golden State Warriors,,,,
Wed Mar 8 2017,8:00 pm,Utah Jazz,,Houston Rockets,,,,
Wed Mar 8 2017,8:00 pm,Detroit Pistons,,Indiana Pacers,,,,
Wed Mar 8 2017,7:30 pm,Charlotte Hornets,,Miami Heat,,,,
Wed Mar 8 2017,8:00 pm,New York Knicks,,Milwaukee Bucks,,,,
Wed Mar 8 2017,8:00 pm,Los Angeles Clippers,,Minnesota Timberwolves,,,,
Wed Mar 8 2017,8:00 pm,Toronto Raptors,,New Orleans Pelicans,,,,
Wed Mar 8 2017,7:00 pm,Chicago Bulls,,Orlando Magic,,,,
Wed Mar 8 2017,8:30 pm,Sacramento Kings,,San Antonio Spurs,,,,
Thu Mar 9 2017,7:30 pm,Cleveland Cavaliers,,Detroit Pistons,,,,
Thu Mar 9 2017,8:00 pm,Los Angeles Clippers,,Memphis Grizzlies,,,,
Thu Mar 9 2017,8:00 pm,San Antonio Spurs,,Oklahoma City Thunder,,,,
Thu Mar 9 2017,10:30 pm,Los Angeles Lakers,,Phoenix Suns,,,,
Thu Mar 9 2017,10:00 pm,Philadelphia 76ers,,Portland Trail Blazers,,,,
Fri Mar 10 2017,8:00 pm,Toronto Raptors,,Atlanta Hawks,,,,
Fri Mar 10 2017,8:00 pm,Houston Rockets,,Chicago Bulls,,,,
Fri Mar 10 2017,7:00 pm,Orlando Magic,,Charlotte Hornets,,,,
Fri Mar 10 2017,9:00 pm,Brooklyn Nets,,Dallas Mavericks,,,,
Fri Mar 10 2017,9:00 pm,Boston Celtics,,Denver Nuggets,,,,
Fri Mar 10 2017,8:00 pm,Indiana Pacers,,Milwaukee Bucks,,,,
Fri Mar 10 2017,8:00 pm,Golden State Warriors,,Minnesota Timberwolves,,,,
Fri Mar 10 2017,10:30 pm,Washington Wizards,,Sacramento Kings,,,,
Sat Mar 11 2017,7:00 pm,New Orleans Pelicans,,Charlotte Hornets,,,,
Sat Mar 11 2017,9:00 pm,Phoenix Suns,,Dallas Mavericks,,,,
Sat Mar 11 2017,5:00 pm,New York Knicks,,Detroit Pistons,,,,
Sat Mar 11 2017,3:30 pm,Philadelphia 76ers,,Los Angeles Clippers,,,,
Sat Mar 11 2017,9:00 pm,Atlanta Hawks,,Memphis Grizzlies,,,,
Sat Mar 11 2017,8:00 pm,Toronto Raptors,,Miami Heat,,,,
Sat Mar 11 2017,8:00 pm,Minnesota Timberwolves,,Milwaukee Bucks,,,,
Sat Mar 11 2017,3:00 pm,Utah Jazz,,Oklahoma City Thunder,,,,
Sat Mar 11 2017,7:00 pm,Cleveland Cavaliers,,Orlando Magic,,,,
Sat Mar 11 2017,10:00 pm,Washington Wizards,,Portland Trail Blazers,,,,
Sat Mar 11 2017,10:30 pm,Denver Nuggets,,Sacramento Kings,,,,
Sat Mar 11 2017,8:30 pm,Golden State Warriors,,San Antonio Spurs,,,,
Sun Mar 12 2017,3:30 pm,Chicago Bulls,,Boston Celtics,,,,
Sun Mar 12 2017,6:00 pm,New York Knicks,,Brooklyn Nets,,,,
Sun Mar 12 2017,9:00 pm,Cleveland Cavaliers,,Houston Rockets,,,,
Sun Mar 12 2017,6:00 pm,Miami Heat,,Indiana Pacers,,,,
Sun Mar 12 2017,9:30 pm,Philadelphia 76ers,,Los Angeles Lakers,,,,
Sun Mar 12 2017,9:00 pm,Portland Trail Blazers,,Phoenix Suns,,,,
Mon Mar 13 2017,7:00 pm,Chicago Bulls,,Charlotte Hornets,,,,
Mon Mar 13 2017,10:30 pm,Los Angeles Lakers,,Denver Nuggets,,,,
Mon Mar 13 2017,8:00 pm,Milwaukee Bucks,,Memphis Grizzlies,,,,
Mon Mar 13 2017,8:00 pm,Washington Wizards,,Minnesota Timberwolves,,,,
Mon Mar 13 2017,10:30 pm,Orlando Magic,,Sacramento Kings,,,,
Mon Mar 13 2017,8:00 pm,Atlanta Hawks,,San Antonio Spurs,,,,
Mon Mar 13 2017,7:30 pm,Dallas Mavericks,,Toronto Raptors,,,,
Mon Mar 13 2017,9:00 pm,Los Angeles Clippers,,Utah Jazz,,,,
Tue Mar 14 2017,7:30 pm,Oklahoma City Thunder,,Brooklyn Nets,,,,
Tue Mar 14 2017,7:00 pm,Detroit Pistons,,Cleveland Cavaliers,,,,
Tue Mar 14 2017,10:30 pm,Philadelphia 76ers,,Golden State Warriors,,,,
Tue Mar 14 2017,8:00 pm,Portland Trail Blazers,,New Orleans Pelicans,,,,
Tue Mar 14 2017,7:30 pm,Indiana Pacers,,New York Knicks,,,,
Wed Mar 15 2017,7:30 pm,Minnesota Timberwolves,,Boston Celtics,,,,
Wed Mar 15 2017,8:00 pm,Memphis Grizzlies,,Chicago Bulls,,,,
Wed Mar 15 2017,7:30 pm,Utah Jazz,,Detroit Pistons,,,,
Wed Mar 15 2017,8:00 pm,Los Angeles Lakers,,Houston Rockets,,,,
Wed Mar 15 2017,7:00 pm,Charlotte Hornets,,Indiana Pacers,,,,
Wed Mar 15 2017,10:30 pm,Milwaukee Bucks,,Los Angeles Clippers,,,,
Wed Mar 15 2017,7:30 pm,New Orleans Pelicans,,Miami Heat,,,,
Wed Mar 15 2017,10:00 pm,Sacramento Kings,,Phoenix Suns,,,,
Wed Mar 15 2017,8:00 pm,Portland Trail Blazers,,San Antonio Spurs,,,,
Wed Mar 15 2017,7:00 pm,Dallas Mavericks,,Washington Wizards,,,,
Thu Mar 16 2017,7:30 pm,Memphis Grizzlies,,Atlanta Hawks,,,,
Thu Mar 16 2017,7:00 pm,Utah Jazz,,Cleveland Cavaliers,,,,
Thu Mar 16 2017,9:00 pm,Los Angeles Clippers,,Denver Nuggets,,,,
Thu Mar 16 2017,10:30 pm,Orlando Magic,,Golden State Warriors,,,,
Thu Mar 16 2017,7:30 pm,Brooklyn Nets,,New York Knicks,,,,
Thu Mar 16 2017,7:00 pm,Oklahoma City Thunder,,Toronto Raptors,,,,
Fri Mar 17 2017,7:30 pm,Boston Celtics,,Brooklyn Nets,,,,
Fri Mar 17 2017,7:30 pm,Toronto Raptors,,Detroit Pistons,,,,
Fri Mar 17 2017,10:30 pm,Milwaukee Bucks,,Los Angeles Lakers,,,,
Fri Mar 17 2017,8:00 pm,Minnesota Timberwolves,,Miami Heat,,,,
Fri Mar 17 2017,8:00 pm,Houston Rockets,,New Orleans Pelicans,,,,
Fri Mar 17 2017,7:00 pm,Dallas Mavericks,,Philadelphia 76ers,,,,
Fri Mar 17 2017,10:00 pm,Orlando Magic,,Phoenix Suns,,,,
Fri Mar 17 2017,7:00 pm,Chicago Bulls,,Washington Wizards,,,,
Sat Mar 18 2017,6:00 pm,Portland Trail Blazers,,Atlanta Hawks,,,,
Sat Mar 18 2017,9:00 pm,Utah Jazz,,Chicago Bulls,,,,
Sat Mar 18 2017,7:00 pm,Washington Wizards,,Charlotte Hornets,,,,
Sat Mar 18 2017,9:30 pm,Houston Rockets,,Denver Nuggets,,,,
Sat Mar 18 2017,10:30 pm,Milwaukee Bucks,,Golden State Warriors,,,,
Sat Mar 18 2017,8:30 pm,Cleveland Cavaliers,,Los Angeles Clippers,,,,
Sat Mar 18 2017,9:00 pm,San Antonio Spurs,,Memphis Grizzlies,,,,
