Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Jan 11 2017,10:30 pm,Orlando Magic,,Los Angeles Clippers,,,,
Wed Jan 11 2017,8:00 pm,Houston Rockets,,Minnesota Timberwolves,,,,
Wed Jan 11 2017,8:00 pm,Memphis Grizzlies,,Oklahoma City Thunder,,,,
Wed Jan 11 2017,7:00 pm,New York Knicks,,Philadelphia 76ers,,,,
Wed Jan 11 2017,10:30 pm,Cleveland Cavaliers,,Portland Trail Blazers,,,,
Thu Jan 12 2017,7:30 pm,New Orleans Pelicans,,Brooklyn Nets,,,,
Thu Jan 12 2017,3:00 pm,Indiana Pacers,,Denver Nuggets,,,,
Thu Jan 12 2017,10:30 pm,Detroit Pistons,,Golden State Warriors,,,,
Thu Jan 12 2017,8:00 pm,Chicago Bulls,,New York Knicks,,,,
Thu Jan 12 2017,10:00 pm,Dallas Mavericks,,Phoenix Suns,,,,
Thu Jan 12 2017,8:30 pm,Los Angeles Lakers,,San Antonio Spurs,,,,
Fri Jan 13 2017,8:00 pm,Boston Celtics,,Atlanta Hawks,,,,
Fri Jan 13 2017,8:00 pm,Memphis Grizzlies,,Houston Rockets,,,,
Fri Jan 13 2017,8:00 pm,Miami Heat,,Milwaukee Bucks,,,,
Fri Jan 13 2017,8:00 pm,Oklahoma City Thunder,,Minnesota Timberwolves,,,,
Fri Jan 13 2017,7:00 pm,Charlotte Hornets,,Philadelphia 76ers,,,,
Fri Jan 13 2017,10:00 pm,Orlando Magic,,Portland Trail Blazers,,,,
Fri Jan 13 2017,10:30 pm,Cleveland Cavaliers,,Sacramento Kings,,,,
Fri Jan 13 2017,7:30 pm,Brooklyn Nets,,Toronto Raptors,,,,
Fri Jan 13 2017,10:30 pm,Detroit Pistons,,Utah Jazz,,,,
Sat Jan 14 2017,5:00 pm,New Orleans Pelicans,,Chicago Bulls,,,,
Sat Jan 14 2017,3:30 pm,Los Angeles Lakers,,Los Angeles Clippers,,,,
Sat Jan 14 2017,6:00 pm,San Antonio Spurs,,Phoenix Suns,,,,
Sat Jan 14 2017,9:00 pm,Orlando Magic,,Utah Jazz,,,,
Sat Jan 14 2017,8:00 pm,Philadelphia 76ers,,Washington Wizards,,,,
Sun Jan 15 2017,3:00 pm,Milwaukee Bucks,,Atlanta Hawks,,,,
Sun Jan 15 2017,6:00 pm,Houston Rockets,,Brooklyn Nets,,,,
Sun Jan 15 2017,4:00 pm,Minnesota Timberwolves,,Dallas Mavericks,,,,
Sun Jan 15 2017,9:30 pm,Detroit Pistons,,Los Angeles Lakers,,,,
Sun Jan 15 2017,9:00 pm,Chicago Bulls,,Memphis Grizzlies,,,,
Sun Jan 15 2017,9:00 pm,Oklahoma City Thunder,,Sacramento Kings,,,,
Sun Jan 15 2017,3:00 pm,New York Knicks,,Toronto Raptors,,,,
Mon Jan 16 2017,7:30 pm,Charlotte Hornets,,Boston Celtics,,,,
Mon Jan 16 2017,5:00 pm,Orlando Magic,,Denver Nuggets,,,,
Mon Jan 16 2017,8:00 pm,Cleveland Cavaliers,,Golden State Warriors,,,,
Mon Jan 16 2017,4:00 pm,New Orleans Pelicans,,Indiana Pacers,,,,
Mon Jan 16 2017,10:30 pm,Oklahoma City Thunder,,Los Angeles Clippers,,,,
Mon Jan 16 2017,3:30 pm,Philadelphia 76ers,,Milwaukee Bucks,,,,
Mon Jan 16 2017,1:00 pm,Atlanta Hawks,,New York Knicks,,,,
Mon Jan 16 2017,9:00 pm,Utah Jazz,,Phoenix Suns,,,,
Mon Jan 16 2017,2:00 pm,Portland Trail Blazers,,Washington Wizards,,,,
Tue Jan 17 2017,7:30 pm,Toronto Raptors,,Brooklyn Nets,,,,
Tue Jan 17 2017,8:00 pm,Dallas Mavericks,,Chicago Bulls,,,,
Tue Jan 17 2017,10:30 pm,Denver Nuggets,,Los Angeles Lakers,,,,
Tue Jan 17 2017,7:30 pm,Houston Rockets,,Miami Heat,,,,
Tue Jan 17 2017,8:30 pm,Minnesota Timberwolves,,San Antonio Spurs,,,,
Wed Jan 18 2017,7:30 pm,New York Knicks,,Boston Celtics,,,,
Wed Jan 18 2017,7:00 pm,Portland Trail Blazers,,Charlotte Hornets,,,,
Wed Jan 18 2017,8:00 pm,Atlanta Hawks,,Detroit Pistons,,,,
Wed Jan 18 2017,10:30 pm,Oklahoma City Thunder,,Golden State Warriors,,,,
Wed Jan 18 2017,8:00 pm,Milwaukee Bucks,,Houston Rockets,,,,
Wed Jan 18 2017,8:00 pm,Orlando Magic,,New Orleans Pelicans,,,,
Wed Jan 18 2017,7:00 pm,Toronto Raptors,,Philadelphia 76ers,,,,
Wed Jan 18 2017,10:30 pm,Indiana Pacers,,Sacramento Kings,,,,
Wed Jan 18 2017,7:00 pm,Memphis Grizzlies,,Washington Wizards,,,,
Thu Jan 19 2017,7:00 pm,Phoenix Suns,,Cleveland Cavaliers,,,,
Thu Jan 19 2017,10:30 pm,Minnesota Timberwolves,,Los Angeles Clippers,,,,
Thu Jan 19 2017,7:30 pm,Dallas Mavericks,,Miami Heat,,,,
Thu Jan 19 2017,8:00 pm,Washington Wizards,,New York Knicks,,,,
Thu Jan 19 2017,8:30 pm,Denver Nuggets,,San Antonio Spurs,,,,
Fri Jan 20 2017,8:00 pm,Chicago Bulls,,Atlanta Hawks,,,,
Fri Jan 20 2017,7:00 pm,Toronto Raptors,,Charlotte Hornets,,,,
Fri Jan 20 2017,8:30 pm,Utah Jazz,,Dallas Mavericks,,,,
Fri Jan 20 2017,8:00 pm,Golden State Warriors,,Houston Rockets,,,,
Fri Jan 20 2017,10:30 pm,Indiana Pacers,,Los Angeles Lakers,,,,
Fri Jan 20 2017,8:00 pm,Sacramento Kings,,Memphis Grizzlies,,,,
Fri Jan 20 2017,8:00 pm,Brooklyn Nets,,New Orleans Pelicans,,,,
Fri Jan 20 2017,7:00 pm,Milwaukee Bucks,,Orlando Magic,,,,
Fri Jan 20 2017,7:00 pm,Portland Trail Blazers,,Philadelphia 76ers,,,,
Sat Jan 21 2017,7:00 pm,Philadelphia 76ers,,Atlanta Hawks,,,,
Sat Jan 21 2017,5:00 pm,Portland Trail Blazers,,Boston Celtics,,,,
Sat Jan 21 2017,9:00 pm,Sacramento Kings,,Chicago Bulls,,,,
Sat Jan 21 2017,7:00 pm,Brooklyn Nets,,Charlotte Hornets,,,,
Sat Jan 21 2017,8:30 pm,San Antonio Spurs,,Cleveland Cavaliers,,,,
Sat Jan 21 2017,9:00 pm,Los Angeles Clippers,,Denver Nuggets,,,,
Sat Jan 21 2017,6:00 pm,Washington Wizards,,Detroit Pistons,,,,
Sat Jan 21 2017,8:00 pm,Houston Rockets,,Memphis Grizzlies,,,,
Sat Jan 21 2017,7:30 pm,Milwaukee Bucks,,Miami Heat,,,,
Sat Jan 21 2017,7:30 pm,Phoenix Suns,,New York Knicks,,,,
Sat Jan 21 2017,9:00 pm,Indiana Pacers,,Utah Jazz,,,,
Sun Jan 22 2017,3:30 pm,Los Angeles Lakers,,Dallas Mavericks,,,,
Sun Jan 22 2017,7:00 pm,Denver Nuggets,,Minnesota Timberwolves,,,,
Sun Jan 22 2017,12:00 pm,Golden State Warriors,,Orlando Magic,,,,
Sun Jan 22 2017,6:00 pm,Phoenix Suns,,Toronto Raptors,,,,
Mon Jan 23 2017,7:30 pm,Los Angeles Clippers,,Atlanta Hawks,,,,
Mon Jan 23 2017,7:30 pm,San Antonio Spurs,,Brooklyn Nets,,,,
Mon Jan 23 2017,7:00 pm,Washington Wizards,,Charlotte Hornets,,,,
Mon Jan 23 2017,7:30 pm,Sacramento Kings,,Detroit Pistons,,,,
Mon Jan 23 2017,8:00 pm,New York Knicks,,Indiana Pacers,,,,
Mon Jan 23 2017,7:30 pm,Golden State Warriors,,Miami Heat,,,,
Mon Jan 23 2017,8:00 pm,Houston Rockets,,Milwaukee Bucks,,,,
Mon Jan 23 2017,8:00 pm,Cleveland Cavaliers,,New Orleans Pelicans,,,,
Mon Jan 23 2017,9:00 pm,Oklahoma City Thunder,,Utah Jazz,,,,
Tue Jan 24 2017,9:00 pm,Utah Jazz,,Denver Nuggets,,,,
Tue Jan 24 2017,7:00 pm,Chicago Bulls,,Orlando Magic,,,,
Tue Jan 24 2017,7:00 pm,Los Angeles Clippers,,Philadelphia 76ers,,,,
Tue Jan 24 2017,9:00 pm,Minnesota Timberwolves,,Phoenix Suns,,,,
Tue Jan 24 2017,7:00 pm,San Antonio Spurs,,Toronto Raptors,,,,
Tue Jan 24 2017,7:00 pm,Boston Celtics,,Washington Wizards,,,,
Wed Jan 25 2017,7:30 pm,Houston Rockets,,Boston Celtics,,,,
Wed Jan 25 2017,7:30 pm,Miami Heat,,Brooklyn Nets,,,,
Wed Jan 25 2017,8:00 pm,Atlanta Hawks,,Chicago Bulls,,,,
Wed Jan 25 2017,8:00 pm,Golden State Warriors,,Charlotte Hornets,,,,
Wed Jan 25 2017,7:00 pm,Sacramento Kings,,Cleveland Cavaliers,,,,
Wed Jan 25 2017,8:30 pm,New York Knicks,,Dallas Mavericks,,,,
Wed Jan 25 2017,8:00 pm,Toronto Raptors,,Memphis Grizzlies,,,,
Wed Jan 25 2017,8:00 pm,Philadelphia 76ers,,Milwaukee Bucks,,,,
Wed Jan 25 2017,8:00 pm,Oklahoma City Thunder,,New Orleans Pelicans,,,,
Wed Jan 25 2017,10:30 pm,Los Angeles Lakers,,Portland Trail Blazers,,,,
Thu Jan 26 2017,9:00 pm,Phoenix Suns,,Denver Nuggets,,,,
Thu Jan 26 2017,8:00 pm,Indiana Pacers,,Minnesota Timberwolves,,,,
Thu Jan 26 2017,8:00 pm,Dallas Mavericks,,Oklahoma City Thunder,,,,
Thu Jan 26 2017,10:30 pm,Los Angeles Lakers,,Utah Jazz,,,,
Fri Jan 27 2017,8:00 pm,Washington Wizards,,Atlanta Hawks,,,,
Fri Jan 27 2017,7:30 pm,Orlando Magic,,Boston Celtics,,,,
Fri Jan 27 2017,8:00 pm,Miami Heat,,Chicago Bulls,,,,
Fri Jan 27 2017,7:30 pm,Brooklyn Nets,,Cleveland Cavaliers,,,,
Fri Jan 27 2017,7:00 pm,Sacramento Kings,,Indiana Pacers,,,,
Fri Jan 27 2017,8:00 pm,San Antonio Spurs,,New Orleans Pelicans,,,,
